"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"369400",7501.55100011655,1057.23646666667,0.78557084,0,0,0.006999447,0.016199798,0.017707363,0.008074214,0.0059986304166,0.005050505,0.013311819,0.006233119,0.01095198,0.024786987,0.015075377,0.027204503,0.0102244943,0.626,32500,17224.4454333333,0.886853200922507
"369862",4112,911.067266666667,0.605069673333333,0,0,0.017354196,0.048318516,0.029649596,0.039540385,0.0118819187679,0.019488429,0.0350903196859667,0.015659955,0.018137848,0.043010753,0.034825871,0.081051479,0.0049790878,0.376,22100,27179,-0.18687221752088
"369905",4359,898.665793939394,0.286384661428572,0,0,0.012330199,0.053770853,0.038863976,0.021602329,0.004336513,0.024570025,0.046917131,0.0136685,0.042777778,0.093830334,0.065330364,0.117484597,0.0062011943,0.386,22700,21198,0.0708557411076517
"371760",4199,917.4367,0.619442873333333,0,0,0.124761177,0.182384342,0.017817372,0.089456246,0.0216952151089666,0.034366577,0.030405405,0.047037263,0.024447031,0.039534884,0.032911392,0.0875,0.0090143343,0.496,26600,22157,0.200523536579862
"371779",3206,918.408666666666,0.609264771666667,0,0,0.124761177,0.182384342,0.017817372,0.089456246,0.0219855376858667,0.034366577,0.030405405,0.047037263,0.024447031,0.039534884,0.032911392,0.0875,0.0090143343,0.496,26600,23574,0.128361754475269
"372037",3268,909.744680952381,0.546587456688312,0,0,0.011823036,0.035365854,0.0618086127995,0.01077266,0.0129399793738,0.0160533832891333,0.026023728,0.023104458,0.022028986,0.022058824,0.031230083,0.106769864064133,0.0035971223,0.442,25700,25047,0.0260709865452948
"372213",5337,969.81453030303,0.3468,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,19605,0.861769956643713
"372222",3535,971.207763636364,0.5049,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,24094,0.514899975097535
"372578",5231,941.650899999999,0.434751521804534,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,26832,0.267143709004174
"372958",3533,883.455733333333,0.725488297142856,0.1755,0,0.008503792,0.027887139,0.0764610462542666,0.010676965,0.042987135,0.014492754,0.0304731402744,0.0255038251304,0.028753994,0.057692308,0.05961377,0.124288034310867,0.0039423294,0.37,21200,25592,-0.171616130040638
