"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"420501",2996,953.480241252169,0.647335264995823,0,0,0.011781174,0.025128041,0.023839398,0.0121673,0.002779533,0.010921178,0.027504912,0.004129672,0.022338049,0.03336339,0.029806748,0.06388283,0.008765386,0.474,25800,24410
"420538",4796,990.391,0.65241427904762,0.0193,0,0.023497918,0.033898305,0.028862479,0.020071488,0.00924593523273335,0.021911422,0.032054951,0.014687883,0.025856496,0.057945042,0.038125496,0.076157508,0.0089477452,0.519,30400,17438
"420723",4648,959.1572,0.564872090921856,0,0,0.011007621,0.041891892,0.046961326,0.021695879,0.005416385,0.02086743,0.038600724,0.012558013,0.036736641,0.041395624,0.043867244,0.134355509,0.0077784483,0.542,30600,13208
"420866",5894,963.560466666667,0.1667,0,0,0.00970997,0.030936208,0.076467421,0.014209784,0.008851224,0.035902851,0.020486556,0.0153507273509334,0.024539877,0.050632911,0.036161335,0.104121475,0.0084094476,0.659,35400,24224
"421009",1533,973.469433333334,0.5536,0,0,0.00762521,0.028267763,0.041221649,0.013603471,0.006565926,0.02595342,0.027655002,0.007421993,0.021178111,0.045672309,0.034933701,0.130755219,0.0193800724,0.639,39500,23126
"421018",2028,970.9747,0.4513,0,0,0.00762521,0.028267763,0.041221649,0.013603471,0.006565926,0.02595342,0.027655002,0.007421993,0.021178111,0.045672309,0.034933701,0.130755219,0.0193800724,0.639,39500,25073
"421513",3578,952.4691,0.402793771166057,0,0,0.005982012,0.030572264,0.162307692,0.009967986,0.026750142,0.0199393570498,0.022048081371,0.0171186977947667,0.019578313,0.057471264,0.028205128,0.106630904299367,0.0062952742,0.562,30300,24505
"422020",4311,950.932641666667,0.542449239242425,0,0,0.011569954,0.03574308,0.0447410624612333,0.012362877,0.0060015,0.015600624,0.035004322,0.007101792,0.032520325,0.0496614,0.050958904,0.0960450811703666,0.0124135485,0.467,28300,22082
"426314",5110,1027.18983333333,0.5686,0,0,0.007326007,0.013404826,0.068208093,0.00967033,0.007274283,0.0179011766147667,0.0155712725420667,0.013993541,0.0156176486563667,0.030460624,0.013808976,0.087441861,0.0254189944,0.789,49700,19896
"427663",4659,962.1936,0.380722436432773,0,0,0.003755756,0.017573114,0.069286287,0.005041815,0.008969292,0.014946619,0.019213974,0.011032532,0.020493957,0.059714795,0.05091104,0.123526397,0.0085605213,0.578,33100,27344
"428268",4720,962.626166666667,0.5,0,0,0.00970997,0.030936208,0.076467421,0.014209784,0.008851224,0.035902851,0.020486556,0.0151243525022334,0.024539877,0.050632911,0.036161335,0.104121475,0.0084094476,0.659,35400,24224
