"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"100663",9420,1107,0.7873,0,0,0.005816369,0.018285714,0.026595745,0.013307985,0.00584786273839999,0.023404255,0.026446281,0.010692701,0.019396552,0.037528868,0.024546425,0.101116625,0.0248070562,0.66048449277877,37400,19547
"100706",8482,1164,0.7883,0,0,0.015117158,0.022770399,0.038374718,0.016090105,0.00680214110346667,0.0243677505356,0.024856597,0.009718173,0.0297988043771334,0.029320988,0.04,0.094752187,0.0317100793,0.6605657339096,39300,19072
"100724",6794,783,0.545,0,0,0.005800464,0.0386774741715,0.170886076,0.013797241,0.008983717,0.0297835281808667,0.018850141,0.0315349749730333,0.022354695,0.0613479402837335,0.0550777683887334,0.225656878,0.00782097539070999,0.34222561120986,21200,15986
"100751",8822,1158,0.8645,0,0,0.003985056,0.016717325,0.031073446,0.006535948,0.003873659,0.0222425708222,0.013850416,0.009803922,0.018981019,0.0393207513255667,0.0273766896285333,0.08028169,0.036412677,0.6610854268074,35700,21681
"100830",6763,970,0.5013,0,0,0.009135629,0.016155089,0.089058524,0.012944984,0.0101836692620667,0.0272277140392667,0.0290875392555667,0.012834225,0.0296756000978334,0.0550101211989666,0.0467131168936333,0.209756098,0.0227272727,0.55453711748123,30400,15179
"100858",8808,1204,0.8879,0,0,0.00486090431946667,0.0184578416627333,0.021189337,0.006617647,0.003750426,0.0216957464744333,0.014048531,0.017127287,0.020378457,0.0365062907346667,0.0299387418973,0.070866142,0.02080480731446,0.70914214849472,39300,21140
"101116",4126,942.565911111112,0.2727,0,0,0.013201845,0.039206107,0.129816242,0.020907658,0.009542484,0.024665982,0.028816677,0.0230800118496,0.026412326,0.047904192,0.0375,0.170756646,0.0127782244,0.60640633106231,38200,31718
"101161",5766,897.252166666667,0.537294726666667,0,0,0.011985409,0.024390244,0.090909091,0.020014826,0.0115772720362667,0.025531915,0.037396122,0.0206820925723667,0.028520499,0.040849673,0.043572985,0.163095238,0.006866417,0.43346613645553,25500,9182
"101189",6747,953,0.5907,0,0,0.00888513932823335,0.030612245,0.059907834,0.01010101,0.00860601063163333,0.0249900421191667,0.0213743862187667,0.0118739041228,0.0203931552322,0.041811847,0.024242424,0.150645624,0.0174337517,0.61236506700515,34300,25198
"101365",5456,976.096833333333,1,0,0,0.010944829,0.034609334,0.073608618,0.017817372,0.00975455670713333,0.0277270603852668,0.027660789276,0.023584906,0.024221453,0.079710145,0.039525692,0.144104804,0.012109624,0.59655171632766,31900,23839
